2018年12月16日（昼）,4447558,4181492,3882509,3524539,3292611,3268335,2791686,2655752,2703635,2419260,2401356,2345436,2279067,2259226,2230719,2264848,2146912,2151665,2153062,2056282,2054072,2022692,2058127,1934940,1873590,1917033,1807691,1840341,1813825,1732365,1707731,1674863,1678268,1664438,1673640,1629302,1641502,1575570,1582223,1588328,1525683,1580575,1473041,1525920,1396939,1358356,1341067,1341800,1317321,1317201,1334159,1316204,1314948,1321116,1301777,1315561,1316452,1269840,1282440,1353785,1286172,1261401,1312933,1252743,1263970,1256890,1260758,1258910,1229858,1214729,1255496,1200382,1168435,1162430,1181668,1148998,1134402,1159593,1143053,1122924,1169887,1119328,1104910,1103046,1080825,1124566,1074867,1079349,1051206,1049520,1073584,1058896,1035306,1027663,1050438,1020056,998168,1018257,1015114,983926,978019,973056,967707,965293,977037,948749,980986,925730,910082,924455,909948,907526,896749,876261,937777,869970,905481,861690,854107,862256,865192,855394,877063,832165,848116,837052,837134,835632,843306,801791,803124,804629,784206,796164,790780,776109,779961,775466,775470,794791,766117,874882,766633,755397,757412,745937,767548,754251,730482,727818,738183,750466,719846,718224,721856,716728,770350,714893,709097,709669,706235,706005,707572,706365,720284,701904,689953,674165,667968,669440,670717,682607,655341,661397,663791,657359,662985,665191,650307,648907,651114,658546,661062,642400,652584,668976,640970,641075,633445,634063,629486,633636,629507,610913,619460,619709,631280,606754,613595,599646,598395,600733,596547,611635,592921,596286,591918,586072,578648,596965,644924,596472,597296,579021,599209,617575,586170,571671,579898,588150,571225,584080,571697,568957,570311,578471,614911,574974,566373,571837,570456,563724,562982,568434,558717,555548,560932,559536,542829,543096,554904,544159,546878,540511,554584,533425,547759,533293,532116,525949,527985,524316,524695,520845,570782,613150,517651,597447,514912,516259,508345,512126,538757,508603,520622,514081,498902,523593,500849,515348,493782,496450,492771,510213,486260,501701,488266,484793,490392,534975,491960,422311,468253,415271,396853,361942,362513,307600,275938,242046,234285,217368,210219,233848,166932,166569,164247,166870,163497,165325,153681,149137,152753,139612,132334,120460,118592,98922,98191,86708,82157,79619,72935,72744,70837,68416,64595,66951,64357,57965,55826,57127,50670,49978
2018年12月16日（夜）,4450499,4183271,3884590,3524281,3295008,3270339,2792732,2656829,2709044,2421452,2410525,2346934,2279014,2261242,2232304,2270194,2147024,2152259,2155587,2058402,2054990,2023242,2060064,1933903,1874471,1920704,1807730,1844038,1814758,1732942,1711587,1675623,1679277,1665605,1676381,1629409,1642723,1576302,1583277,1589668,1526485,1584878,1473379,1528952,1398936,1360733,1341509,1342723,1317991,1317207,1336628,1316526,1315414,1322542,1302524,1316241,1317734,1269857,1284844,1358516,1287050,1261569,1317026,1252848,1264585,1258135,1261814,1260967,1230558,1215138,1257383,1200947,1168827,1163200,1182366,1150701,1134329,1160462,1144372,1124723,1171037,1120023,1105540,1104312,1081146,1125906,1075695,1080170,1051340,1050028,1077154,1060898,1036030,1028137,1052203,1020531,998461,1022434,1016635,984323,978173,973251,969050,966112,979756,949616,982460,925942,910461,925354,910057,908090,897133,876293,941159,870227,907277,861911,853972,862554,866183,855895,883606,832285,849420,837946,838310,839000,844756,802131,803449,805375,784183,797386,791081,776535,780344,775689,775486,795794,766270,878468,767987,755558,758579,745998,768457,755008,730604,727967,738666,751701,719971,718287,722159,716804,778695,715619,709797,709958,706572,706523,708000,707280,721464,702324,690352,674298,667914,669510,670872,683615,655308,661468,664337,657461,663283,665965,650461,649011,651673,660457,661599,642564,652911,670157,641310,641707,633518,634357,629944,636204,629835,610975,619910,620416,634703,607039,614450,599758,598456,601122,596648,612884,593248,596648,592529,586567,578511,597369,649033,597252,597611,579045,599417,620272,586586,571511,580138,588974,571154,584156,572133,570133,570460,579686,616837,575523,566454,573671,570994,563850,563141,568797,558854,555276,561497,560425,542733,543304,555069,544330,547684,541053,555897,533653,548436,534626,532429,526236,528429,524704,526453,520998,574664,619625,517853,602106,515045,516662,508598,512539,540495,509184,521247,514915,499214,524753,501234,519166,494096,496835,493260,514395,486836,505247,489529,485578,491502,536186,494360,422315,470877,416175,397266,361957,363886,308446,276393,242232,234296,217430,210327,234870,166938,166601,165072,166988,165311,165701,153672,149139,152871,139666,132348,120546,118686,98900,98183,86737,82208,79611,72949,72757,70877,68452,64588,67131,64426,57959,55824,57252,50667,49966
2018年12月17日（昼）,4451421,4183592,3885688,3524162,3295519,3271031,2793093,2657055,2710467,2421907,2412726,2347477,2278922,2262086,2232719,2272385,2147136,2152469,2156289,2058903,2055226,2023386,2060568,1933587,1874646,1921796,1807712,1845279,1815022,1733073,1712362,1675886,1679602,1666044,1677061,1629433,1643055,1576621,1583614,1589995,1526840,1586173,1473390,1529975,1399778,1362556,1341609,1342921,1318205,1317073,1337470,1316574,1315504,1322974,1302646,1316429,1318276,1269909,1285421,1360681,1287634,1261580,1317935,1252883,1264806,1258718,1262091,1261618,1230950,1215349,1258023,1201382,1168875,1163503,1182612,1151152,1134288,1160625,1144745,1125220,1171547,1120306,1105754,1104832,1081266,1126345,1075914,1080517,1051312,1050246,1077945,1061410,1036183,1028296,1053034,1020667,998528,1023490,1017170,985409,978199,973283,969462,966494,980749,949802,982900,925940,910430,925413,910207,908292,897204,876502,942055,870329,907667,861970,853893,862647,866336,856022,884992,832327,849917,838237,838870,839791,845276,802284,803558,805600,784213,797725,791168,776692,780497,775736,775550,796053,766424,879121,768578,755720,758754,746040,768726,755231,730644,727976,738776,752248,719987,718291,722290,716802,785219,715667,710076,710083,706632,706742,708170,707610,721911,702504,690458,674312,667882,669490,670919,683974,655314,661495,664578,657437,663581,666287,650501,649060,651883,660796,661844,642586,653022,670388,641418,641989,633555,634443,630270,636907,629942,610989,620070,620592,635695,607145,614660,599768,598477,601150,596661,613436,593302,596825,592794,586578,578450,597551,650066,597579,597725,579037,599575,621266,586657,571413,580251,589281,571099,584021,572230,570435,570521,579992,617460,575692,566478,574322,571113,563892,563157,568818,558869,555197,561687,560751,542685,543388,555141,544388,547874,541290,556366,533788,548686,534920,532514,526286,528501,524784,527155,521024,576351,621723,517974,604381,515062,516767,508655,512943,540964,509398,521545,515302,499350,525077,501450,519854,494211,497016,493383,516821,486997,505838,490245,485931,491866,536675,495245,422312,472062,416392,397509,361932,364156,308618,276508,242279,234303,217438,210357,235249,166937,166622,165123,167035,166690,165878,153674,149146,152913,139666,132348,120609,118749,98897,98185,86747,82228,79623,72948,72764,70921,68452,64592,67177,64465,57956,55821,57304,50667,49961
2018年12月17日（夜）,4453223,4184458,3890315,3523985,3296961,3272309,2793686,2658109,2712868,2422772,2416581,2348443,2278871,2263987,2233394,2276440,2147286,2152799,2157226,2060189,2055750,2023768,2061704,1933073,1875099,1924571,1807714,1847797,1815809,1733504,1715470,1676476,1680416,1666972,1678567,1629458,1643571,1577025,1584445,1590726,1527363,1588727,1473538,1531748,1400915,1364650,1341866,1343593,1318591,1317150,1339354,1316770,1315787,1323448,1303043,1316985,1319642,1269868,1286490,1363383,1288530,1261419,1319642,1253028,1265557,1259869,1262727,1263767,1231685,1215626,1259641,1201902,1169118,1164295,1183090,1152485,1134254,1161652,1145355,1128458,1177091,1120952,1106164,1105810,1081424,1127186,1076513,1081156,1051378,1050816,1080223,1062548,1036565,1028547,1054518,1020791,998966,1026536,1018092,988353,978247,973410,970335,967081,982080,950273,983648,926079,910346,925517,910294,908883,897484,876421,943566,870512,909979,862106,853783,862870,866690,856533,887489,832460,850675,838672,839593,841150,846251,802370,803810,806069,784236,798434,791400,776942,780816,775939,776442,799384,766573,880592,769262,755838,759144,746059,769586,755550,730728,728079,739036,753235,720077,718288,722614,716833,789943,715786,710464,710379,706794,707032,708557,708086,722658,702860,690696,674400,667831,669558,671088,684841,654300,661538,664940,657402,663864,666885,650580,649111,652270,661828,662153,642669,653197,670651,641583,642564,633642,634659,630612,638704,630146,611004,620357,620885,638154,607298,616158,599819,598534,601291,596720,614571,593427,597082,593051,586559,578344,597793,651804,598534,597906,579047,599660,623206,586939,571234,580664,589794,571033,583776,572509,570939,570634,580810,618887,576134,566539,575647,571358,563990,563203,569079,558886,555205,562079,561191,542599,543547,555332,544511,548294,541583,557378,534213,549203,535639,533096,526479,528744,525003,528823,521169,579220,626884,518142,607568,515134,516952,508800,513730,542360,509831,522187,515835,499545,525732,501712,521002,494425,497335,493606,520007,487474,506345,490812,486535,492950,537975,496687,422307,474358,416598,397789,361915,364789,308811,276566,242395,234314,217474,210413,236194,166927,166637,165204,167121,168294,166162,153664,149147,152982,139663,132374,120654,118830,98888,98190,86764,82271,79651,72952,72779,70971,68447,64601,67378,64519,57954,55810,57394,50662,49951
2018年12月18日（昼）,4454496,4184771,3892932,3523881,3297663,3272896,2794343,2658424,2714986,2423336,2418356,2349203,2278932,2265076,2233741,2278129,2147218,2152945,2157666,2060618,2055950,2023867,2062351,1932764,1875302,1926064,1807716,1848978,1816411,1733666,1716960,1676784,1680737,1667499,1679292,1629442,1643958,1577226,1584873,1591042,1528064,1589690,1473607,1533196,1401485,1365251,1341977,1343828,1318695,1317224,1340040,1316859,1315906,1323922,1303197,1317270,1320414,1269859,1286842,1364865,1288870,1261407,1320181,1253094,1265783,1260290,1262992,1264576,1232049,1215773,1260385,1202385,1169226,1164641,1183404,1152823,1134286,1161906,1145608,1129561,1180759,1121252,1106390,1106616,1081503,1127632,1076750,1081414,1051379,1051065,1081247,1062970,1036690,1028735,1055379,1020849,999570,1027841,1018403,989499,978280,973442,970742,967415,983845,950404,984161,926153,910322,925584,910535,909183,897590,876567,944381,870612,915186,862162,853727,863109,866801,856687,888416,832508,851081,839018,839935,841785,846733,802402,803927,806314,784234,798840,791516,777036,780953,776039,777427,800820,766639,881292,769620,755899,759317,746067,770005,755703,730742,728118,739153,753682,720098,718285,722751,716816,791433,715817,710553,710416,706856,707322,708799,708295,723028,703103,690795,674425,667800,669613,671119,685386,654190,661576,665175,657388,663994,667144,650591,649159,652436,662183,662355,642718,653683,671427,641649,642870,633714,634744,631113,639449,630244,610980,620519,621061,638952,607452,616644,599854,598564,601370,596734,615093,593469,597238,593085,586532,578293,597935,654402,599607,598030,579054,599784,624028,587039,571139,580961,590084,570995,583228,572613,571093,570686,581187,619833,576381,566563,576074,571457,564026,563224,569142,558911,555133,562281,561429,542566,543603,555515,544566,548517,541754,557718,534354,549386,535975,533189,526511,528906,525079,529548,521231,581216,629225,518260,609301,515166,517046,508859,513943,542914,510073,522464,516082,499691,526027,501845,521433,494559,497524,493676,520762,487779,506527,491097,486932,493364,538444,497249,422323,475901,416615,397953,362088,365014,308855,276645,242443,234320,217493,210474,236516,166913,166644,165233,167242,169076,166321,153663,149150,153026,139659,132373,120681,118857,98885,98188,86771,82292,79736,72954,72789,71001,68447,64599,67491,64540,57953,55809,57422,50660,49946
2018年12月18日（夜）,4455950,4185597,3898981,3523703,3299407,3273991,2795859,2659057,2720685,2424783,2419992,2350725,2279064,2267950,2234299,2281612,2147241,2153248,2158302,2060917,2056447,2024015,2063531,1932253,1875759,1929193,1807654,1851435,1817837,1734004,1718727,1677428,1681389,1668536,1680760,1629460,1644755,1577595,1585518,1591702,1529281,1591230,1473847,1535664,1402588,1365656,1342292,1344376,1319001,1317283,1341353,1317031,1316174,1324317,1303835,1317815,1321455,1269925,1287641,1367073,1289594,1261392,1321471,1253379,1266313,1261280,1263644,1266791,1232694,1216036,1261556,1204499,1169515,1165208,1183832,1152958,1134266,1162630,1146180,1131561,1184643,1121769,1106889,1108248,1081668,1128540,1077368,1082083,1051448,1051425,1083839,1063994,1037001,1029418,1056840,1020862,1000001,1030236,1019333,992165,978335,973583,971561,968016,986173,950828,985481,926283,910312,925705,910632,909328,897746,876567,945844,870783,924249,862315,853612,863754,867094,857176,889882,832601,851958,839650,840638,843068,847470,802422,804213,806684,784253,800934,791702,777336,781335,776238,778870,802883,766793,883218,770146,756017,759677,746082,770883,755958,730838,728205,739321,754711,720087,718276,723022,720997,793256,715918,710700,710688,707058,707607,709590,708725,723950,703599,691135,674466,667741,669635,671246,686944,653711,661611,665458,657408,664276,667596,650715,649244,652803,663174,662578,642854,653775,672300,641768,643666,633860,634883,631901,641211,630431,610985,620736,621391,640726,607589,617643,599927,598625,601612,596821,615672,593560,597547,593352,586676,578192,598273,664215,601137,598286,579115,599910,625587,587293,571019,581206,590637,570570,583052,572796,571362,570675,581915,621381,577041,566568,576160,571724,564102,563311,569365,558980,555020,562714,561704,542486,543733,555828,544739,548941,541932,558441,534593,549835,536186,533700,526681,529192,525219,531551,521392,583974,634284,518402,612040,515220,517258,508995,514393,543858,510493,523065,516519,499955,526680,502072,522221,494898,497871,493865,521925,488303,506879,491511,487662,494120,539149,498335,422338,478467,416704,398277,362208,365489,308930,276865,242538,234341,217528,210514,237210,166881,166666,166610,167436,169897,166655,153661,149147,153086,139670,132400,120700,118923,98875,98182,86794,82349,79918,72971,72792,71049,68455,64598,67793,64586,57950,55808,57486,50658,49936
2018年12月19日（昼）,4456743,4185923,3901021,3523575,3300000,3274341,2796647,2659323,2722800,2425424,2421629,2351346,2279185,2269327,2234624,2282751,2147292,2153415,2158597,2061008,2056632,2024100,2064426,1931943,1875919,1930752,1807591,1852545,1818420,1734321,1719231,1677706,1681683,1669107,1681457,1629453,1645069,1577795,1585819,1591966,1529936,1591966,1473956,1536612,1403091,1365854,1342397,1344588,1319081,1317228,1341965,1317107,1316293,1324355,1304025,1318087,1321931,1269964,1287990,1368135,1289885,1261371,1322085,1253488,1266502,1261687,1263893,1268598,1232981,1216177,1262455,1205375,1169607,1165424,1184020,1152982,1134251,1162859,1146370,1132327,1186051,1121989,1107068,1109061,1081812,1128781,1077551,1082381,1051458,1051682,1084861,1064536,1037145,1029716,1057696,1020881,1000186,1030996,1019872,993099,978375,973634,971948,968420,987175,950987,986337,926335,910257,925786,910906,909392,897810,876579,946602,870872,930627,862377,853538,863991,867209,857302,890449,832695,852507,839945,841032,843599,847905,802673,804329,806864,784238,801567,791775,777415,781512,776355,779493,803276,766837,883914,770357,756061,759947,746121,771324,756103,730865,728228,739393,755247,720106,718276,723165,721016,794387,715938,710723,710816,707145,707758,710382,708938,724428,703924,691236,674499,667723,669642,671294,687499,653632,661692,665597,657394,664403,667778,650743,649276,652943,663772,662795,642894,653865,673141,641818,644039,633949,634963,632643,641720,630536,610979,620857,621551,641045,607638,618080,599984,598655,601668,596851,615873,593607,597701,593627,586652,578122,598469,670512,601865,598445,579125,600055,626371,587375,570937,581383,590924,570235,583053,572874,571444,570733,582116,622333,577203,566573,576201,571829,564144,563343,569423,558953,554978,562987,561988,542436,543792,555965,544803,549083,541991,558725,534706,550038,536334,533943,526701,529416,525276,532125,521463,585736,636257,518452,613860,515250,517352,509037,514518,544414,510586,523337,516836,500113,527034,502165,522513,495062,498056,493937,522466,488497,506974,491752,488142,494440,539437,499558,422331,480065,416747,398443,362237,365610,308996,276953,242575,234345,217539,210538,237504,166877,166660,167227,167587,170217,166866,153656,149155,153111,139661,132408,120757,119544,98861,98180,86798,82381,80046,72977,72813,71080,68462,64598,67910,64618,57945,55811,57520,50659,49933
2018年12月19日（夜）,4458436,4186781,3904310,3523411,3301500,3275414,2797859,2660012,2727433,2426709,2423492,2352624,2279154,2272175,2235311,2285476,2147611,2153846,2159248,2061274,2057080,2024317,2066131,1931492,1876715,1933191,1807567,1857461,1819615,1734614,1720585,1678359,1682460,1669918,1683136,1629472,1645664,1578117,1586465,1592674,1530874,1594705,1473701,1538805,1404287,1366234,1342754,1345083,1319253,1317281,1343007,1317259,1316565,1324667,1304456,1318552,1322735,1269772,1288754,1372406,1290497,1261477,1323340,1253713,1266998,1262670,1264566,1270406,1233269,1216442,1263354,1207301,1169874,1165923,1184533,1153230,1134209,1163577,1146912,1133093,1189239,1122510,1107543,1110509,1082007,1129336,1078138,1082900,1051527,1052355,1086400,1065941,1037501,1030050,1059750,1020977,1000529,1032051,1021063,994480,978457,973719,972609,969160,988496,951502,988071,926477,910187,925848,911060,909457,897874,876469,947692,871045,939182,862501,853422,864488,867489,857613,891496,832784,853056,840648,841891,844667,848294,802929,804657,807252,784210,802487,791999,777534,781896,776627,780729,804053,766980,887111,770791,756128,760635,746082,772079,756398,730986,728301,739573,756342,720201,718325,723439,722315,798179,716074,710829,711169,707345,708272,711208,709486,725365,704505,691563,674595,667673,669681,671364,688285,653620,661971,665838,657421,664704,668084,650920,649389,653338,664370,663103,643047,653870,674606,643201,644706,634077,635094,633433,642753,630696,611004,621102,621887,641625,607774,619381,600069,598717,601760,597017,616378,593770,597980,594115,586755,578009,598801,677698,603273,598695,579228,600302,627952,587613,570803,581676,591364,570030,583125,573084,571714,570791,582541,624026,577740,566626,576355,572128,564628,563378,569638,558991,554936,563425,562591,542350,543851,556247,544946,549391,542447,559201,534910,550588,536710,534437,526838,530114,525404,533048,521680,589107,641250,518601,616712,515320,517619,509143,514853,545923,510826,523933,517268,500394,527635,502442,523157,495512,498391,494194,523990,488698,507252,492191,489109,495126,540284,501079,422340,482133,416900,398730,362245,365959,309099,277171,242686,234378,217585,210597,238494,166898,166669,167583,167781,170538,167200,153657,149156,153364,139663,132417,120814,120486,98848,98176,86802,82433,80174,72990,72858,71126,68497,64598,68116,64659,57937,55800,57596,50656,49928
2018年12月20日（昼）,4459154,4187115,3905504,3523281,3302093,3275734,2798535,2660221,2729091,2427163,2424268,2353207,2279085,2273120,2235631,2286528,2147652,2154105,2159592,2061370,2057247,2024405,2066592,1931227,1876936,1934736,1807598,1859498,1820088,1734722,1721013,1678495,1682759,1670389,1683942,1629472,1646084,1578365,1586950,1592927,1531279,1597293,1472994,1539726,1404852,1366433,1342869,1345222,1319303,1317385,1343346,1317323,1316669,1324809,1304599,1318764,1323488,1269791,1289069,1374657,1290732,1261509,1323757,1253806,1267227,1263110,1264834,1271286,1233569,1216588,1263920,1208041,1170056,1166133,1184746,1153400,1134179,1163789,1147091,1133367,1190794,1122743,1107769,1111252,1082136,1129559,1078423,1083061,1051556,1052980,1086897,1066474,1037612,1030384,1060451,1021027,1000675,1032552,1021665,995050,977978,973761,972901,970141,989085,951658,989100,926535,910154,925865,911367,909486,897928,876547,948194,871156,942229,862561,853351,864702,867592,857746,891982,832850,853478,841191,842255,845222,848610,803037,804769,807501,784206,802930,792073,777659,782067,776743,782781,804297,767036,890325,770998,756277,760770,746052,772521,756553,731012,728363,739646,756934,720210,718335,723555,722704,799589,716109,710854,711397,707402,708705,711524,709671,726050,704740,691673,674618,667640,669693,671410,688702,653561,662185,665977,657415,664808,668317,650959,649406,653511,664552,663296,643074,653911,675171,644323,644933,634154,635173,633792,643222,630796,610995,621231,622014,641814,607827,619774,600101,598734,601783,597073,616557,593901,598103,594290,586764,577951,598960,680928,603999,598860,579294,600547,628621,587679,570697,581801,591542,569973,582719,573171,571815,570832,582729,625079,577916,566637,576421,572257,565051,563380,569731,558996,554912,563615,562822,542305,543903,556412,545003,549481,542746,559402,534968,550900,536815,534661,526898,530269,525464,533398,521827,591183,643510,518658,619776,515322,517741,509192,515000,546772,510955,524206,517461,500481,527897,502649,523402,495680,498584,494305,524903,488758,507339,492463,489662,495260,541717,501845,422337,482968,417053,398882,362235,366060,309153,277255,242731,234384,217613,210620,238802,166877,166674,167661,167836,170791,167376,153653,149155,153484,139654,132426,120838,121429,98835,98175,86802,82460,80297,72989,72877,71164,68507,64599,68204,64688,57932,55793,57628,50660,49925
2018年12月20日（夜）,4460722,4188079,3907344,3523148,3303623,3276770,2799623,2660796,2732423,2428052,2426271,2354051,2278950,2274905,2236382,2290148,2148178,2154477,2160251,2061571,2057607,2024617,2067586,1930707,1877575,1940072,1808299,1864240,1821015,1734995,1722042,1678779,1683280,1671258,1687222,1629521,1647164,1578789,1587607,1593596,1531920,1603972,1472795,1541329,1405949,1366694,1343216,1345527,1319601,1317499,1343842,1317503,1317038,1325310,1305071,1319263,1324822,1269836,1289733,1379060,1291255,1261566,1324948,1253944,1267606,1263949,1265550,1273852,1234097,1216873,1265036,1209073,1170238,1166664,1185105,1153788,1134177,1164407,1147535,1133968,1200570,1123476,1108233,1112294,1082300,1130139,1079040,1083633,1051625,1053343,1088373,1067629,1037949,1030807,1061660,1021325,1000942,1034144,1022449,995620,978053,973908,973477,973716,989995,952080,990726,926684,910136,926021,911516,909554,898252,876449,949054,871312,945847,862695,853245,864993,867841,858021,892804,832929,854468,841888,842841,846608,851037,803263,805059,809730,784238,803874,792253,777819,782407,776950,790175,804803,767154,902795,771456,756809,761206,746029,774074,756802,731132,728528,739859,757836,720257,718353,723808,723856,801562,716222,710936,711712,707601,709524,712158,710084,727702,705120,691948,674728,667584,669725,671425,689781,653504,662526,666207,657418,665473,668603,651089,649483,653933,665353,663655,643192,654283,676966,645288,645378,634296,635346,634709,644507,631030,611026,621369,622299,645322,608013,620577,600175,598808,601865,597134,616842,593998,598423,594586,586905,577805,599190,684327,604841,599146,579380,601603,629803,588077,570544,581952,591932,569975,582083,573348,572030,570957,583180,626407,578354,566678,576577,572571,565712,563399,570111,559058,554877,564012,563227,542236,544008,556726,545204,549783,543115,559863,535099,551324,537040,535367,527026,530605,525593,534273,522044,593911,648356,518746,623290,515378,517918,509369,515267,548432,511861,524856,517706,500703,528396,503078,523952,496093,498918,494560,526336,489094,507326,493149,490844,495661,543177,503418,422205,484457,417193,399137,362238,366310,309323,277442,242842,234407,217663,210639,239442,167557,166681,167952,167887,171084,167822,153660,149152,153814,139678,132445,120888,122161,98829,98174,86803,82516,80387,73003,72897,71194,68517,64608,68336,64717,57926,55790,57701,50663,49920
2018年12月21日（昼）,4461540,4188455,3907875,3523027,3304196,3277157,2800176,2661012,2733483,2428395,2427172,2354834,2278872,2275932,2236866,2291418,2148379,2154704,2160556,2061408,2057809,2024707,2068129,1930416,1877689,1941946,1809001,1866506,1821230,1735154,1722339,1679268,1683563,1671656,1691410,1629524,1647583,1578935,1588428,1593850,1532219,1607308,1472737,1542639,1406451,1367035,1343328,1345623,1319633,1317413,1344019,1317579,1317208,1325404,1305211,1319520,1325537,1269863,1290012,1380987,1291727,1261572,1325725,1253985,1267986,1264607,1265912,1274885,1234400,1217072,1265902,1209656,1170561,1166841,1185316,1153933,1134192,1164572,1147699,1134205,1204915,1123857,1108433,1112835,1082342,1130342,1079286,1083924,1051636,1053525,1088944,1068103,1038203,1030921,1062269,1021489,1001044,1034651,1022812,995929,978013,974872,973757,974966,990449,952273,991928,926745,910113,926111,911776,909580,898346,876518,949646,871395,947148,862772,853169,865143,867958,858139,893168,832985,854953,842596,843217,847149,852481,803311,805212,810388,784276,804219,792337,777910,782348,777045,792991,805096,767216,905682,771652,757053,761399,746028,774772,756925,731188,728568,739994,758289,720330,718357,723925,724343,802396,716321,710960,711816,707662,710009,712386,710277,728387,705294,692017,674752,667552,669740,671448,690468,653252,662714,668409,657414,666001,668811,651123,649523,654115,665512,663925,643309,654470,677316,645584,645630,634361,635434,635037,644838,631086,611058,621431,622454,646687,608099,620769,600236,598830,601878,597172,617015,594042,598584,594623,586865,577735,599266,685930,605230,599310,579391,602103,630338,588158,570454,582027,592153,569987,582028,573436,572139,570990,583328,627270,578487,567080,576635,572691,565919,563360,570197,559087,554863,564183,563415,542196,544062,556954,545274,549865,543255,560067,535179,551562,537137,535635,527084,530728,525682,534543,522091,595652,650705,518833,626804,515421,517988,509537,515418,549143,512190,525153,517912,500804,528761,503321,524181,496291,499115,494647,526920,489338,507345,493317,491480,495914,543545,504740,422179,485275,417380,399269,362250,366750,309419,277540,242961,234435,217708,210687,239688,168117,166679,168155,167910,171216,168020,153666,149155,153928,139692,132452,120916,122384,98817,98164,86806,82557,80458,73003,72906,71212,68518,64607,68392,64746,57923,55793,57733,50664,49918
2018年12月21日（夜）,4463545,4189385,3909239,3522844,3306025,3278233,2801078,2661837,2737120,2429482,2429444,2356221,2278883,2277670,2237974,2294309,2148770,2154575,2161296,2061246,2058419,2024759,2069467,1929917,1878099,1945594,1809561,1868772,1821869,1735314,1723190,1679758,1684276,1672421,1695599,1629601,1648537,1579425,1589562,1594680,1532791,1613804,1472900,1545252,1408054,1367376,1343780,1345980,1319625,1317471,1344556,1317850,1317718,1325973,1305761,1320146,1327038,1269932,1290576,1383758,1292826,1261543,1328472,1253768,1268673,1266398,1266736,1277149,1234956,1217271,1266768,1210254,1170885,1167448,1186523,1154401,1134220,1165422,1148123,1134910,1209832,1124663,1108980,1113377,1082539,1130886,1080231,1084391,1051717,1053786,1090326,1069288,1038457,1031340,1063924,1021651,1001241,1036104,1023530,996634,978146,978800,975251,977391,991198,953233,995412,926879,910043,927179,911906,909630,898685,876498,950238,871478,950586,862943,853049,865416,868287,858449,894250,833091,855838,845569,843595,848062,853524,803632,805516,811047,784314,805105,792562,778037,782566,777346,795822,805810,767428,912822,772126,757298,761771,746120,776380,757120,731284,728726,740299,759180,720790,718393,724132,726506,804242,716421,711067,711927,707843,710494,712874,710611,729810,705598,691997,674862,667527,669801,671546,691463,653000,662903,673992,657404,666530,669221,651356,649564,654569,666305,664281,643426,654578,678522,646172,646038,634426,635572,635366,645994,631251,611082,621605,622754,649115,608226,621282,600297,598884,601943,597253,617429,594183,598825,594901,586898,577617,599427,689122,605780,599474,579433,602604,631568,588790,570330,582407,592621,569946,582026,573628,572342,571107,583901,628456,579053,569127,576859,573209,566469,563584,570719,559266,554845,564543,563674,542110,544196,557182,545471,550170,543497,560503,535380,552043,537327,535915,527228,531020,525884,535544,522267,597256,659546,518920,630046,515465,518197,509705,515807,551076,512552,525698,518152,501048,529227,503513,524977,496729,499412,494867,527708,489701,507073,494310,492204,496332,544287,506063,422182,486307,417735,399524,362205,367190,309533,277730,243081,234464,217753,210736,240396,168532,166691,168392,167933,171438,168277,153668,149154,154032,139707,132460,120945,122716,98806,98164,86839,82599,80588,72941,72916,71245,68517,64612,68544,64782,57916,55794,57777,50663,49905
